file,duration_s,der,false_alarm_s,missed_detection_s,confusion_s,total_speech_s,compute_s
RES0121,471.53,1.6916,189.18,42.36,52.56,167.95,9.33
RES0122,506.15,1.6519,206.45,32.59,76.9,191.26,10.51
RES0123,742.38,1.5285,302.0,53.3,105.51,301.49,15.23
RES0124,828.04,1.6341,344.97,70.09,118.41,326.46,15.88
RES0125,711.42,1.7606,300.9,53.9,93.69,254.73,14.55
RES0126,851.47,1.7826,353.8,78.0,109.74,303.79,18.71
RES0127,661.49,1.4728,250.97,56.44,111.95,284.75,12.81
RES0128,568.02,1.6254,230.94,42.02,81.86,218.3,11.21
RES0129,548.76,1.6015,214.64,54.46,77.67,216.52,10.76
RES0130,653.04,1.8178,284.29,59.31,87.1,236.93,12.56
RES0131,636.53,1.5329,236.22,71.56,76.38,250.6,12.39
RES0132,707.18,1.6327,285.62,55.05,107.85,274.72,13.45
RES0133,665.23,1.5181,258.14,51.97,86.21,261.05,12.61
RES0134,860.88,1.3031,279.46,90.24,147.17,396.65,16.85
RES0135,684.31,1.3545,235.01,66.88,111.23,305.0,12.86
RES0136,694.24,1.3399,228.3,78.52,88.9,295.32,13.95
RES0137,640.57,1.9902,299.27,48.09,67.5,208.46,13.19
RES0138,600.65,1.5553,215.05,73.19,66.4,228.01,12.77
RES0139,575.64,1.5266,213.31,57.98,62.05,218.35,12.03
RES0140,454.01,1.7445,197.9,38.7,64.49,172.6,8.35
RES0141,505.59,1.34,181.08,42.71,53.07,206.61,10.04
RES0142,428.75,1.7717,186.49,38.92,50.95,155.99,9.04
RES0143,571.07,1.4089,207.05,70.64,84.12,256.8,10.92
RES0144,575.34,1.7337,240.56,30.87,73.39,198.89,10.18
RES0145,711.39,1.5229,281.19,72.92,98.53,297.22,13.5
RES0146,508.33,1.38,170.4,62.81,74.07,222.68,9.92
RES0147,711.29,1.7036,297.81,53.45,98.04,263.73,12.73
RES0148,669.1,1.3332,223.72,83.7,100.75,306.16,12.24
RES0149,684.76,1.273,222.19,84.54,100.53,319.92,13.17
RES0150,675.88,1.1725,207.14,74.64,100.66,326.17,12.65
RES0151,650.44,1.1993,180.59,75.51,105.05,301.14,12.52
RES0152,595.03,1.0259,162.0,77.02,78.65,309.66,10.85
RES0153,610.48,1.2723,199.91,75.44,101.35,296.08,11.69
RES0154,557.83,1.3708,193.11,63.77,84.9,249.34,10.88
RES0155,772.0,1.2844,256.48,89.64,127.99,369.12,14.18
RES0156,548.08,1.1002,161.03,61.3,97.47,290.67,10.1
RES0158,528.48,1.0806,160.36,64.38,60.27,263.76,9.94
RES0159,603.17,1.1261,163.01,89.88,94.14,308.17,11.03
RES0160,613.56,1.5768,219.9,51.76,83.15,225.02,11.14
RES0161,501.01,1.6162,208.01,48.36,63.21,197.74,9.8
RES0162,615.83,1.0279,171.31,58.82,86.27,307.81,11.54
RES0163,618.03,1.3507,192.12,71.12,95.45,265.56,12.21
RES0164,662.01,1.5456,242.85,78.6,85.48,263.29,12.64
RES0165,501.93,1.6059,178.75,48.27,50.16,172.6,10.78
RES0166,606.45,1.3104,191.84,70.67,74.82,257.43,13.18
RES0167,608.59,1.7339,255.41,67.12,79.5,231.87,12.25
RES0168,653.07,1.4051,240.8,55.77,104.23,285.25,14.48
RES0169,507.0,1.8536,219.82,43.63,62.69,175.95,10.37
RES0170,667.56,1.7346,292.18,46.38,90.18,247.16,13.14
RES0171,704.37,1.9878,336.75,58.05,85.24,241.49,13.94
RES0172,568.8,2.075,261.04,35.22,70.14,176.58,14.07
RES0173,646.07,1.2831,215.51,49.9,94.82,280.75,14.05
RES0174,830.92,1.3449,275.7,69.16,143.85,363.37,17.95
RES0175,513.04,1.4118,170.69,45.02,82.2,211.02,10.88
RES0176,724.17,1.4284,268.51,88.15,89.99,312.7,15.42
RES0177,642.17,1.5462,260.98,58.51,91.84,266.03,13.47
RES0178,605.11,1.6736,244.4,47.81,87.07,226.62,12.7
