cell,model,conversation,bleu,rouge_l,sbert_coherence,bert_f1,summary_chars,summary_tokens,scispacy_entity_recall,medcat_entity_recall
embed_clinicalbert,gpt-oss-120b,CAR0001,0.0199718184569708,0.1571211353269133,0.6643717288970947,0.8048658967018127,5304,774,0.408695652173913,0.4722222222222222
embed_clinicalbert,gpt-oss-120b,CAR0002,0.0112159930203425,0.0983036102653327,0.4329206049442291,0.8060164451599121,7942,1138,0.4782608695652174,0.4230769230769231
embed_clinicalbert,gpt-oss-120b,CAR0004,0.017991830037079,0.1164079822616408,0.5584136247634888,0.8083033561706543,5582,800,0.4712643678160919,0.4606741573033708
embed_clinicalbert,gpt-oss-120b,CAR0005,0.0076213016926283,0.1122206371849738,0.4820132255554199,0.7989067435264587,5252,737,0.3238095238095238,0.3888888888888889
embed_clinicalbert,gpt-oss-120b,DER0001,0.0030869525963015,0.0839506172839506,0.4520618617534637,0.8051693439483643,8057,1182,0.3615384615384615,0.4418604651162791
embed_clinicalbert,gpt-oss-120b,GAS0001,0.0070716324957076,0.1100323624595469,0.4834859073162079,0.7978748083114624,7313,1039,0.4042553191489361,0.4782608695652174
embed_clinicalbert,gpt-oss-120b,GAS0002,0.0214095068438315,0.1237016052880075,0.4919743537902832,0.7873036861419678,5907,857,0.3608247422680412,0.4174757281553398
embed_clinicalbert,gpt-oss-120b,GAS0003,0.0120581913805342,0.1035272560696289,0.3731139004230499,0.8044373393058777,6915,977,0.4257425742574257,0.4148936170212766
embed_clinicalbert,gpt-oss-120b,GAS0004,0.017649022146647,0.1159817351598173,0.4498920738697052,0.7959945797920227,6341,918,0.3548387096774194,0.4329896907216495
embed_clinicalbert,gpt-oss-120b,GAS0005,0.0035468089269536,0.1241753977493209,0.7223129868507385,0.8074695467948914,5705,830,0.2933333333333333,0.3290322580645161
embed_clinicalbert,gpt-oss-120b,MSK0003,0.0038842887826668,0.0980140935297886,0.3893941044807434,0.7867730259895325,8112,1122,0.4011976047904191,0.3809523809523809
embed_clinicalbert,gpt-oss-120b,MSK0014,0.005007589516195,0.1149425287356322,0.513909637928009,0.801983118057251,7433,1030,0.3260869565217391,0.3878787878787879
embed_clinicalbert,gpt-oss-120b,MSK0016,0.006681590799206,0.1062302612690209,0.5821254849433899,0.8027570843696594,7973,1132,0.4095744680851064,0.4019607843137255
embed_clinicalbert,gpt-oss-120b,MSK0019,0.0077263600690408,0.1219325153374233,0.5419098734855652,0.7912125587463379,7553,1052,0.4195804195804196,0.4090909090909091
embed_clinicalbert,gpt-oss-120b,MSK0028,0.0140803403017152,0.1364205256570713,0.5619999170303345,0.7973182797431946,8270,1224,0.4090909090909091,0.4267515923566879
embed_clinicalbert,gpt-oss-120b,MSK0031,0.0157592420016787,0.1239215686274509,0.5583179593086243,0.7995597124099731,8160,1147,0.4565217391304347,0.4263565891472868
embed_clinicalbert,gpt-oss-120b,MSK0035,0.0190636312251115,0.1358159912376779,0.5066213011741638,0.8000729084014893,6584,964,0.3712574850299401,0.4090909090909091
embed_clinicalbert,gpt-oss-120b,MSK0037,0.0160152777466122,0.1262809917355372,0.5734221339225769,0.7969455122947693,8544,1206,0.4242424242424242,0.4258064516129032
embed_clinicalbert,gpt-oss-120b,MSK0038,0.003681837686593,0.1201059758610538,0.6036947965621948,0.7896000742912292,8847,1229,0.425287356321839,0.4842767295597484
embed_clinicalbert,gpt-oss-120b,MSK0041,0.0115451617903988,0.1438403303509979,0.4697200655937195,0.7982211112976074,8219,1198,0.425414364640884,0.4968553459119497
embed_clinicalbert,gpt-oss-120b,RES0007,0.0093153753936504,0.0997761432683082,0.4566174149513244,0.8043795228004456,7880,1117,0.2951807228915662,0.3724137931034483
embed_clinicalbert,gpt-oss-120b,RES0008,0.0136344171794476,0.1088871096877502,0.4173599779605865,0.7872632741928101,8699,1236,0.4444444444444444,0.4137931034482758
embed_clinicalbert,gpt-oss-120b,RES0009,0.0090306919449629,0.0989541432019308,0.4976206421852112,0.7999298572540283,6262,888,0.3740458015267175,0.366412213740458
embed_clinicalbert,gpt-oss-120b,RES0023,0.02159168286735,0.0990629183400267,0.4875596165657043,0.7895348072052002,7096,1038,0.3831775700934579,0.550561797752809
embed_clinicalbert,gpt-oss-120b,RES0024,0.0148822175937314,0.1033568904593639,0.4892320036888122,0.8042251467704773,7829,1139,0.4102564102564102,0.46875
embed_clinicalbert,gpt-oss-120b,RES0027,0.012439579756506,0.1209610604805302,0.573011577129364,0.8025605082511902,6319,907,0.4228187919463087,0.4225352112676056
embed_clinicalbert,gpt-oss-120b,RES0029,0.0168380558910304,0.1201334816462736,0.4733723402023315,0.8054137229919434,6246,904,0.4130434782608695,0.5116279069767442
embed_clinicalbert,gpt-oss-120b,RES0036,0.0218723853280905,0.1015826278984173,0.5315696001052856,0.8009225130081177,8219,1159,0.4074074074074074,0.4532374100719424
embed_clinicalbert,gpt-oss-120b,RES0058,0.0164569605585671,0.1361926260346125,0.4695799648761749,0.8061617612838745,6655,992,0.4041095890410959,0.4379084967320261
embed_clinicalbert,gpt-oss-120b,RES0060,0.0087248042600189,0.1125663716814159,0.4959524273872375,0.8086970448493958,7000,991,0.4219653179190751,0.4228187919463087
embed_clinicalbert,gpt-oss-120b,RES0062,0.0062518505382998,0.1013366490519117,0.4424763321876526,0.8004926443099976,7464,1074,0.3081081081081081,0.3944444444444444
embed_clinicalbert,gpt-oss-120b,RES0065,0.0059102553041791,0.1142322097378277,0.5354146361351013,0.80306476354599,6557,933,0.3983050847457627,0.5192307692307693
