cell,model,conversation,scispacy_entity_recall,medcat_entity_recall
embed_clinicalbert,gpt-oss-20b,RES0024,0.38461538461538464,0.3854166666666667
embed_clinicalbert,gpt-oss-20b,RES0027,0.3422818791946309,0.3732394366197183
embed_clinicalbert,gpt-oss-20b,RES0029,0.42391304347826086,0.4418604651162791
embed_clinicalbert,gpt-oss-20b,RES0036,0.34074074074074073,0.41007194244604317
embed_clinicalbert,gpt-oss-20b,RES0058,0.3767123287671233,0.3660130718954248
embed_clinicalbert,gpt-oss-20b,RES0060,0.3699421965317919,0.44966442953020136
embed_clinicalbert,gpt-oss-20b,RES0062,0.31891891891891894,0.36666666666666664
embed_clinicalbert,gpt-oss-20b,RES0065,0.4152542372881356,0.4423076923076923
embed_clinicalbert,gpt-oss-20b,RES0073,0.42857142857142855,0.40869565217391307
embed_clinicalbert,gpt-oss-20b,RES0111,0.41284403669724773,0.43564356435643564
embed_clinicalbert,gpt-oss-20b,RES0143,0.36363636363636365,0.47058823529411764
embed_clinicalbert,gpt-oss-20b,RES0155,0.36363636363636365,0.464
embed_clinicalbert,gpt-oss-20b,RES0168,0.3728813559322034,0.4152542372881356
embed_clinicalbert,gpt-oss-20b,RES0178,0.32558139534883723,0.33064516129032256
embed_clinicalbert,gpt-oss-20b,RES0193,0.3401360544217687,0.3381294964028777
embed_clinicalbert,gpt-oss-20b,RES0194,0.34868421052631576,0.36363636363636365
embed_clinicalbert,qwen3-32b,CAR0001,0.4782608695652174,0.46296296296296297
embed_clinicalbert,qwen3-32b,CAR0002,0.3565217391304348,0.34615384615384615
embed_clinicalbert,qwen3-32b,CAR0004,0.4482758620689655,0.48314606741573035
embed_clinicalbert,qwen3-32b,CAR0005,0.3619047619047619,0.3148148148148148
embed_clinicalbert,qwen3-32b,DER0001,0.4307692307692308,0.40310077519379844
embed_clinicalbert,qwen3-32b,GAS0001,0.3617021276595745,0.43478260869565216
embed_clinicalbert,qwen3-32b,GAS0002,0.422680412371134,0.39805825242718446
embed_clinicalbert,qwen3-32b,GAS0003,0.43564356435643564,0.44680851063829785
embed_clinicalbert,qwen3-32b,GAS0004,0.3629032258064516,0.4329896907216495
embed_clinicalbert,qwen3-32b,GAS0005,0.29333333333333333,0.32903225806451614
embed_clinicalbert,qwen3-32b,MSK0003,0.39520958083832336,0.3877551020408163
embed_clinicalbert,qwen3-32b,MSK0014,0.3804347826086957,0.4121212121212121
embed_clinicalbert,qwen3-32b,MSK0016,0.3404255319148936,0.3137254901960784
embed_clinicalbert,qwen3-32b,MSK0019,0.4405594405594406,0.4318181818181818
embed_clinicalbert,qwen3-32b,MSK0028,0.3522727272727273,0.40764331210191085
embed_clinicalbert,qwen3-32b,MSK0031,0.4855072463768116,0.4186046511627907
embed_clinicalbert,qwen3-32b,MSK0035,0.3592814371257485,0.37662337662337664
embed_clinicalbert,qwen3-32b,MSK0037,0.3212121212121212,0.3225806451612903
embed_clinicalbert,qwen3-32b,MSK0038,0.3850574712643678,0.39622641509433965
embed_clinicalbert,qwen3-32b,MSK0041,0.48066298342541436,0.4716981132075472
embed_clinicalbert,qwen3-32b,RES0007,0.28313253012048195,0.32413793103448274
embed_clinicalbert,qwen3-32b,RES0008,0.41414141414141414,0.3563218390804598
embed_clinicalbert,qwen3-32b,RES0009,0.3282442748091603,0.2900763358778626
embed_clinicalbert,qwen3-32b,RES0023,0.35514018691588783,0.4606741573033708
embed_clinicalbert,qwen3-32b,RES0024,0.27350427350427353,0.375
embed_clinicalbert,qwen3-32b,RES0027,0.3624161073825503,0.4084507042253521
embed_clinicalbert,qwen3-32b,RES0029,0.41304347826086957,0.37209302325581395
embed_clinicalbert,qwen3-32b,RES0036,0.4148148148148148,0.39568345323741005
embed_clinicalbert,qwen3-32b,RES0058,0.3972602739726027,0.40522875816993464
embed_clinicalbert,qwen3-32b,RES0060,0.3988439306358382,0.436241610738255
embed_clinicalbert,qwen3-32b,RES0062,0.3567567567567568,0.34444444444444444
embed_clinicalbert,qwen3-32b,RES0065,0.3728813559322034,0.4519230769230769
embed_clinicalbert,qwen3-32b,RES0073,0.3412698412698413,0.3739130434782609
embed_clinicalbert,qwen3-32b,RES0111,0.42201834862385323,0.43564356435643564
embed_clinicalbert,qwen3-32b,RES0143,0.42727272727272725,0.46078431372549017
embed_clinicalbert,qwen3-32b,RES0155,0.34965034965034963,0.408
embed_clinicalbert,qwen3-32b,RES0168,0.423728813559322,0.3728813559322034
embed_clinicalbert,qwen3-32b,RES0178,0.4186046511627907,0.3467741935483871
embed_clinicalbert,qwen3-32b,RES0193,0.4013605442176871,0.41007194244604317
embed_clinicalbert,qwen3-32b,RES0194,0.39473684210526316,0.4090909090909091
